UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Mechanical_Load,Wear_Stress,Wear_Heat
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,0.0,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994,138.89999999999998,926.0999999999999
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,74001.2,247.0,1542.5
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,276.5,2160.2000000000003
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,360.0,2778.2999999999997
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,460.9,3394.6000000000004
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,593.6,4320.400000000001
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,643.2,4937.6
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,47676.200000000004,514.8000000000001,5556.599999999999
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,588.0,6489.0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.799999999996,573.5999999999999,7413.599999999999
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.899999999994,1284.6999999999998,8963.900000000001
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,1737.4,10509.400000000001
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,1110.0,11440.4
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,784.0,12368.0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,2032.8,12986.4
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,2050.4,13604.8
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,2143.2000000000003,14532.4
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,71177.0,2725.0,15460.0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040.0,1787.5,17011.5
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001,2476.6000000000004,17939.4
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999,2822.3999999999996,19485.9
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7,1995.5,20104.5
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,45180.6,1747.6,21039.199999999997
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,58225.299999999996,2611.0,21658.0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3,1700.9,22593.5
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,58968.0,2925.0,23212.5
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,44550.600000000006,1894.2,23823.8
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,63603.8,3624.4,25370.8
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3,2528.4,25989.6
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,64539.8,4145.2,26617.0
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,45849.0,2269.5,27536.6
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,68537.7,4395.3,28155.399999999998
