UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
7510,L54689,L,300.6,311.9,1372,60.1,212,1,0,0,0,1,0
5888,H35301,H,301.4,311.1,1445,41.4,144,0,0,0,0,0,0
6395,M21254,M,300.2,309.7,1408,44.0,144,0,0,0,0,0,0
4122,M18981,M,302.1,310.7,1364,47.8,213,1,0,1,0,0,0
5745,H35158,H,302.2,311.5,1482,42.6,16,0,0,0,0,0,0
6131,L53310,L,301.0,310.9,1473,44.2,116,0,0,0,0,0,0
6995,L54174,L,300.6,310.8,1375,53.2,179,0,0,0,0,0,0
1510,L48689,L,298.0,308.5,1429,37.7,220,1,1,0,0,0,0
9785,M24644,M,298.7,309.8,1435,48.8,71,0,0,0,0,0,0
9849,H39262,H,298.5,309.2,1568,40.6,39,0,0,0,0,0,0
6667,L53846,L,301.3,310.4,1414,51.4,199,0,0,0,0,0,0
4118,L51297,L,301.9,310.5,1340,55.7,204,1,0,0,0,1,0
3780,L50959,L,302.3,311.0,1657,31.1,3,0,0,0,0,0,0
5941,M20800,M,300.6,310.6,1427,52.8,75,0,0,0,0,0,0
4174,M19033,M,302.2,310.6,1346,49.2,134,1,0,1,0,0,0
3937,L51116,L,302.5,311.5,1985,18.8,190,0,0,0,0,0,0
2752,L49931,L,299.7,309.1,1417,50.1,187,0,0,0,0,0,0
6087,L53266,L,300.9,310.8,1482,37.0,5,0,0,0,0,0,0
4296,L51475,L,301.8,310.2,1457,40.4,213,0,0,0,0,0,0
9064,L56243,L,297.2,308.3,1419,39.7,115,0,0,0,0,0,0
